ZFIN ID	Symbol	NCBI Gene ID	Ensembl ID
ZDB-GENE-040426-949	ppp6c	393980	ENSDARG00000002949
ZDB-GENE-040426-950	ubap1	393183	ENSDARG00000058746
ZDB-GENE-040426-951	clec16a	393184	ENSDARG00000038094
ZDB-GENE-040426-953	trmt11	393185	ENSDARG00000040033
ZDB-GENE-040426-954	zgc:56235	393186	ENSDARG00000116680
ZDB-GENE-040426-955	cox15	394181	ENSDARG00000075933
ZDB-GENE-040426-957	mcts1	394046	ENSDARG00000025972
ZDB-GENE-040426-958	hmgcl	394190	ENSDARG00000021220
ZDB-GENE-040426-959	dmac2l	393187	ENSDARG00000012072
ZDB-GENE-040426-960	rbm28	393291	ENSDARG00000025332
ZDB-GENE-040426-961	inip	393188	ENSDARG00000028523
ZDB-GENE-040426-962	tbca	394029	ENSDARG00000016754
ZDB-GENE-040426-963	stard14	100001416	ENSDARG00000031929
ZDB-GENE-040426-965	gpx8	393191	ENSDARG00000013302
ZDB-GENE-040426-966	pfkfb2a	393983	ENSDARG00000023840
ZDB-GENE-040426-967	pdcd2l	393192	ENSDARG00000002754
ZDB-GENE-040426-968	rad54l	394119	ENSDARG00000018623
ZDB-GENE-040426-969	trip10b	108179043	ENSDARG00000100788
ZDB-GENE-040426-970	tnni2a.2	394068	ENSDARG00000005841
ZDB-GENE-040426-971	snapc3	394090	ENSDARG00000101474
ZDB-GENE-040426-972	polr3f	394162	ENSDARG00000012572
ZDB-GENE-040426-974	otud6b	393194	ENSDARG00000102705
ZDB-GENE-040426-975	irs2a	393285	ENSDARG00000037099
ZDB-GENE-040426-976	rnaseh2a	393195	ENSDARG00000018891
ZDB-GENE-040426-977	rpa3	393196	ENSDARG00000002613
ZDB-GENE-040426-978	snrnp40	393292	ENSDARG00000023160
ZDB-GENE-040426-979	pex3	393197	ENSDARG00000013973
ZDB-GENE-040426-980	pdcd5	394152	ENSDARG00000026072
ZDB-GENE-040426-981	pex5	394131	ENSDARG00000070654
ZDB-GENE-040426-982	cops8	393198	ENSDARG00000024846
ZDB-GENE-040426-983	atxn3	394079	ENSDARG00000099274
ZDB-GENE-040426-984	pacsin3	393964	ENSDARG00000099339
ZDB-GENE-040426-985	tcea2	393961	ENSDARG00000012927
ZDB-GENE-040426-986	hpda	394142	ENSDARG00000018351
ZDB-GENE-040426-987	h2ax	394048	ENSDARG00000029406
ZDB-GENE-040426-988	asz1	572911	ENSDARG00000004823
ZDB-GENE-040426-989	dynlrb1	394163	ENSDARG00000021582
ZDB-GENE-040426-990	wdr45	393200	ENSDARG00000090219
ZDB-GENE-040426-992	polr3c	393201	ENSDARG00000057562
ZDB-GENE-040426-993	ncor1	393246	ENSDARG00000035285
ZDB-GENE-040426-994	neil1	393253	ENSDARG00000018061
ZDB-GENE-040426-995	odad4	393286	ENSDARG00000058140
ZDB-GENE-040426-996	sardh	394103	ENSDARG00000058102
ZDB-GENE-040426-997	ercc2	393900	ENSDARG00000021985
ZDB-GENE-040426-999	xpnpep1	406253	ENSDARG00000029011
ZDB-GENE-040427-2	gdf11	406247	ENSDARG00000044924
ZDB-GENE-040428-1	rb1	777733	ENSDARG00000006782
ZDB-GENE-040428-2	actr3	406250	ENSDARG00000091138
ZDB-GENE-040428-3	mos	795517	ENSDARG00000069744
ZDB-GENE-040429-1	sox21b	406246	ENSDARG00000008540
ZDB-GENE-040429-2	egfl7	678640	ENSDARG00000100657
ZDB-GENE-040502-1	dusp19b	406252	ENSDARG00000045200
ZDB-GENE-040504-1	nr1d2a	402815	ENSDARG00000003820
ZDB-GENE-040511-1	ela2l	334304	ENSDARG00000056765
ZDB-GENE-040513-1	asic1b	407672	ENSDARG00000101866
ZDB-GENE-040513-2	asic1a	791696	ENSDARG00000008329
ZDB-GENE-040513-3	asic1c	407670	ENSDARG00000098428
ZDB-GENE-040513-4	asic2	407669	ENSDARG00000006849
ZDB-GENE-040513-5	asic4a	407668	ENSDARG00000025162
ZDB-GENE-040513-6	asic4b	407667	ENSDARG00000004243
ZDB-GENE-040513-7	cdh23	407978	ENSDARG00000007561
ZDB-GENE-040513-8	ight	446139	ENSDARG00000096280
ZDB-GENE-040514-13	ighv4-8	777741	ENSDARG00000096289
ZDB-GENE-040514-16	ighv5-2	777697	ENSDARG00000096267
ZDB-GENE-040514-18	ighv5-4	554307	ENSDARG00000096308
ZDB-GENE-040514-19	ighv5-5	554308	ENSDARG00000096342
ZDB-GENE-040514-22	ighv5-8	777761	ENSDARG00000096318
ZDB-GENE-040514-23	ighv6-1	777698	ENSDARG00000096276
ZDB-GENE-040514-27	ighv8-2	777742	ENSDARG00000096340
ZDB-GENE-040514-28	ighv8-3	777699	ENSDARG00000114819
ZDB-GENE-040514-29	ighv8-4	554309	ENSDARG00000109214
ZDB-GENE-040514-30	ighv9-1	554310	ENSDARG00000096430
ZDB-GENE-040514-31	ighv9-2	554311	ENSDARG00000113309
ZDB-GENE-040514-34	ighv10-1	619194	ENSDARG00000096316
ZDB-GENE-040514-36	ighv11-1	777700	ENSDARG00000096395
ZDB-GENE-040514-37	ighv11-2	554312	ENSDARG00000096408
ZDB-GENE-040514-41	ighv13-2	777762	ENSDARG00000096372
ZDB-GENE-040514-42	ighv14-1	777701	ENSDARG00000096418
ZDB-GENE-040514-6	ighv4-1	554306	ENSDARG00000096259
ZDB-GENE-040514-8	ighv4-2	619191	ENSDARG00000096275
ZDB-GENE-040514-9	ighv4-3	561498	ENSDARG00000096394
ZDB-GENE-040516-11	tcf12	407985	ENSDARG00000004714
ZDB-GENE-040516-12	lsm12a	407986	ENSDARG00000028848
ZDB-GENE-040516-14	arhgef18a	407987	ENSDARG00000011157
ZDB-GENE-040516-17	rcan2	407988	ENSDARG00000021869
ZDB-GENE-040516-18	adss1	407989	ENSDARG00000099517
ZDB-GENE-040516-3	ppp1caa	407980	ENSDARG00000003486
ZDB-GENE-040516-7	fam184aa	407982	ENSDARG00000002635
ZDB-GENE-040516-8	tp53bp2a	407983	ENSDARG00000009136
ZDB-GENE-040516-9	thrap3b	407984	ENSDARG00000098228
ZDB-GENE-040518-1	he1.3	792176	ENSDARG00000022670
ZDB-GENE-040520-1	vipas39	415096	ENSDARG00000103690
ZDB-GENE-040520-2	tbpl1	403035	ENSDARG00000036868
ZDB-GENE-040520-3	tbpl2	407713	ENSDARG00000097302
ZDB-GENE-040520-4	actc1a	408256	ENSDARG00000042535
ZDB-GENE-040525-1	rab4a	403031	ENSDARG00000019144
ZDB-GENE-040525-3	cacna1db	403311	ENSDARG00000101589
ZDB-GENE-040526-1	dzip1	402875	ENSDARG00000000943
ZDB-GENE-040527-1	rgma	414272	ENSDARG00000012248
ZDB-GENE-040527-2	rgmb	414273	ENSDARG00000079323
ZDB-GENE-040608-1	harbi1	445279	ENSDARG00000036038
ZDB-GENE-040611-1	nrp1b	402973	ENSDARG00000027290
ZDB-GENE-040611-2	nrp2a	405901	ENSDARG00000096546
ZDB-GENE-040611-3	nrp2b	405902	ENSDARG00000038446
ZDB-GENE-040611-4	pane1	402852	ENSDARG00000024681
ZDB-GENE-040614-1	ift57	414929	ENSDARG00000021022
ZDB-GENE-040614-2	ift20	414930	ENSDARG00000040556
ZDB-GENE-040614-3	ift52	414931	ENSDARG00000045025
ZDB-GENE-040614-4	fabp7b	407736	ENSDARG00000034650
ZDB-GENE-040615-1	nkx1.2la	405755	ENSDARG00000006350
ZDB-GENE-040615-2	nkx1.2lb	407077	ENSDARG00000099427
ZDB-GENE-040616-1	serac1	568022	ENSDARG00000056121
ZDB-GENE-040616-2	esrrb	407693	ENSDARG00000100847
ZDB-GENE-040616-3	esrrd	407692	ENSDARG00000015064
ZDB-GENE-040616-4	esrrgb	407691	ENSDARG00000011696
ZDB-GENE-040617-1	lck	414333	ENSDARG00000102525
ZDB-GENE-040617-2	cry-dash	402986	ENSDARG00000002396
ZDB-GENE-040618-2	psmb1	445413	ENSDARG00000009640
ZDB-GENE-040618-3	rhoua	492802	ENSDARG00000019709
ZDB-GENE-040618-4	gnpat	572335	ENSDARG00000074401
ZDB-GENE-040621-1	fgf17	407737	ENSDARG00000102778
ZDB-GENE-040621-2	vangl1	403076	ENSDARG00000004305
ZDB-GENE-040622-1	zic5	403041	ENSDARG00000016022
ZDB-GENE-040622-2	rpl36	405888	ENSDARG00000100588
ZDB-GENE-040622-3	nf2b	405887	ENSDARG00000025567
ZDB-GENE-040622-4	zic4	767673	ENSDARG00000031307
ZDB-GENE-040622-5	rps29	405889	ENSDARG00000041232
ZDB-GENE-040623-1	pth1a	405886	ENSDARG00000093738
ZDB-GENE-040623-2	pth1b	405885	ENSDARG00000091961
ZDB-GENE-040623-3	dact1	405799	ENSDARG00000101635
ZDB-GENE-040624-1	isl1b	415131	ENSDARG00000021055
ZDB-GENE-040624-10	popdc3	415108	ENSDARG00000058551
ZDB-GENE-040624-11	bves	415107	ENSDARG00000058548
ZDB-GENE-040624-12	trpv6	100000322	ENSDARG00000014496
ZDB-GENE-040624-2	top1mt	415098	
ZDB-GENE-040624-3	crabp1b	415102	ENSDARG00000035904
ZDB-GENE-040624-4	tph2	407712	ENSDARG00000057239
ZDB-GENE-040624-5	ctcf	415104	ENSDARG00000056621
ZDB-GENE-040624-6	adgrv1	415105	ENSDARG00000021137
ZDB-GENE-040624-7	mafga	415134	ENSDARG00000018109
ZDB-GENE-040624-8	puraa	415106	ENSDARG00000067591
ZDB-GENE-040624-9	mafk	415133	ENSDARG00000100947
ZDB-GENE-040625-10	cwc15	415140	ENSDARG00000013382
ZDB-GENE-040625-102	zgc:86839	415200	ENSDARG00000117089
ZDB-GENE-040625-104	psmd4a	415202	ENSDARG00000101295
ZDB-GENE-040625-105	tmx2b	415203	ENSDARG00000007786
ZDB-GENE-040625-107	arpc3	415204	ENSDARG00000057882
ZDB-GENE-040625-109	eaf1	415205	ENSDARG00000070795
ZDB-GENE-040625-11	stx12	415141	ENSDARG00000098813
ZDB-GENE-040625-111	luc7l	415206	ENSDARG00000055903
ZDB-GENE-040625-112	rbks	415207	ENSDARG00000019877
ZDB-GENE-040625-113	zgc:86811	415208	ENSDARG00000035573
ZDB-GENE-040625-114	tpm2	415209	ENSDARG00000104682
ZDB-GENE-040625-115	efcab7	415210	ENSDARG00000020279
ZDB-GENE-040625-116	puf60b	415211	ENSDARG00000001241
ZDB-GENE-040625-119	tnni2a.4	494164	ENSDARG00000029069
ZDB-GENE-040625-12	mrpl23	415142	ENSDARG00000045696
ZDB-GENE-040625-120	get3	325704	ENSDARG00000018190
ZDB-GENE-040625-121	ralbb	415213	ENSDARG00000113643
ZDB-GENE-040625-125	psmc3ip	415214	ENSDARG00000037892
ZDB-GENE-040625-126	ccr6a	558616	ENSDARG00000087474
ZDB-GENE-040625-127	ppih	494165	ENSDARG00000041530
ZDB-GENE-040625-129	b3gnt3.1	494166	ENSDARG00000043482
ZDB-GENE-040625-130	guk1a	415216	ENSDARG00000030340
ZDB-GENE-040625-131	gtf2f2a	415217	ENSDARG00000069910
ZDB-GENE-040625-133	rab1bb	415219	ENSDARG00000056479
ZDB-GENE-040625-135	mpdu1b	415220	ENSDARG00000040265
ZDB-GENE-040625-136	psmd8	415221	ENSDARG00000020454
ZDB-GENE-040625-138	plppr1	415222	ENSDARG00000100642
ZDB-GENE-040625-139	trim63a	415223	ENSDARG00000028027
ZDB-GENE-040625-14	dguok	100005067	ENSDARG00000075395
ZDB-GENE-040625-140	tmed4	415224	ENSDARG00000024954
ZDB-GENE-040625-141	dram2b	415225	ENSDARG00000044241
ZDB-GENE-040625-142	golga7	798622	ENSDARG00000057676
ZDB-GENE-040625-144	ptges3b	415227	ENSDARG00000089626
ZDB-GENE-040625-145	crygm2d6	415228	ENSDARG00000073874
ZDB-GENE-040625-146	rabac1	407650	ENSDARG00000004171
ZDB-GENE-040625-147	rpl11	415229	ENSDARG00000043509
ZDB-GENE-040625-15	cops2	415145	ENSDARG00000004785
ZDB-GENE-040625-150	sms	80872	ENSDARG00000008155
ZDB-GENE-040625-151	zgc:86738	415231	
ZDB-GENE-040625-154	crygm2d18	415232	ENSDARG00000073750
ZDB-GENE-040625-155	dhrs11b.1	791770	ENSDARG00000031299
ZDB-GENE-040625-156	med22	415234	ENSDARG00000014148
ZDB-GENE-040625-157	ostf1	405783	ENSDARG00000091555
ZDB-GENE-040625-158	cab39	415235	ENSDARG00000043451
ZDB-GENE-040625-159	ppil3	415236	ENSDARG00000033370
ZDB-GENE-040625-160	ddt	415237	ENSDARG00000044751
ZDB-GENE-040625-161	rpp40	415238	ENSDARG00000017605
ZDB-GENE-040625-162	pigk	415239	ENSDARG00000024479
ZDB-GENE-040625-164	cav2	415240	ENSDARG00000052000
ZDB-GENE-040625-166	calua	415241	ENSDARG00000045676
ZDB-GENE-040625-167	rap1aa	415242	ENSDARG00000012553
ZDB-GENE-040625-168	ndufa1	415243	ENSDARG00000036329
ZDB-GENE-040625-17	hprt1l	415146	ENSDARG00000014866
ZDB-GENE-040625-171	dcun1d2b	415246	ENSDARG00000041592
ZDB-GENE-040625-174	idh3b	415247	ENSDARG00000044753
ZDB-GENE-040625-175	rcn3	415248	ENSDARG00000037961
ZDB-GENE-040625-176	trnt1	415249	ENSDARG00000075297
ZDB-GENE-040625-177	rpf1	415250	ENSDARG00000005738
ZDB-GENE-040625-178	ints12	415251	ENSDARG00000091678
ZDB-GENE-040625-179	eaf2	415252	ENSDARG00000010432
ZDB-GENE-040625-18	gnptg	415147	ENSDARG00000038566
ZDB-GENE-040625-180	cox5ba	415253	ENSDARG00000015978
ZDB-GENE-040625-181	zgc:86598	415254	ENSDARG00000014222
ZDB-GENE-040625-182	wipf2b	415255	ENSDARG00000006712
ZDB-GENE-040625-2	cyp51	414331	ENSDARG00000042641
ZDB-GENE-040625-21	sae1	415148	ENSDARG00000010487
ZDB-GENE-040625-24	lum	415149	ENSDARG00000045580
ZDB-GENE-040625-25	eif2b1	415150	ENSDARG00000091402
ZDB-GENE-040625-27	rac2	415151	ENSDARG00000038010
ZDB-GENE-040625-3	bet1	415135	ENSDARG00000034885
ZDB-GENE-040625-30	gyg1b	415152	ENSDARG00000059391
ZDB-GENE-040625-31	stxbp6	415153	ENSDARG00000088862
ZDB-GENE-040625-34	ppid	415155	ENSDARG00000038835
ZDB-GENE-040625-35	actc2	570210	ENSDARG00000057911
ZDB-GENE-040625-36	sf3b6	415157	ENSDARG00000009753
ZDB-GENE-040625-38	cycsb	415158	ENSDARG00000044562
ZDB-GENE-040625-39	rpl37	415159	ENSDARG00000034291
ZDB-GENE-040625-45	vamp3	415163	ENSDARG00000070161
ZDB-GENE-040625-46	acte1	415164	ENSDARG00000079111
ZDB-GENE-040625-48	pvalb4	337731	ENSDARG00000024433
ZDB-GENE-040625-49	fabp6	415166	ENSDARG00000044566
ZDB-GENE-040625-50	lsm6	415167	ENSDARG00000036995
ZDB-GENE-040625-51	rpl39	415168	ENSDARG00000036316
ZDB-GENE-040625-52	rps13	415169	ENSDARG00000036298
ZDB-GENE-040625-53	slc12a2	415170	ENSDARG00000086870
ZDB-GENE-040625-53	slc12a2	415170	ENSDARG00000104573
ZDB-GENE-040625-55	snrpd3	415171	ENSDARG00000013800
ZDB-GENE-040625-57	pvalb1	402805	ENSDARG00000037789
ZDB-GENE-040625-59	antkmt	100000855	ENSDARG00000041223
ZDB-GENE-040625-6	sra1	415137	ENSDARG00000053619
ZDB-GENE-040625-61	med6	415174	ENSDARG00000034734
ZDB-GENE-040625-62	tnnc1b	415175	ENSDARG00000037539
ZDB-GENE-040625-63	nudt5	415176	ENSDARG00000078073
ZDB-GENE-040625-65	rnf14	415177	ENSDARG00000043905
ZDB-GENE-040625-68	cbx1b	415180	ENSDARG00000054442
ZDB-GENE-040625-69	psmc1b	415181	ENSDARG00000043561
ZDB-GENE-040625-7	akr1b1.1	415138	ENSDARG00000006215
ZDB-GENE-040625-71	rnf141	414846	ENSDARG00000041802
ZDB-GENE-040625-72	cyp2aa4	415182	ENSDARG00000098803
ZDB-GENE-040625-73	tubd1	415183	ENSDARG00000058219
ZDB-GENE-040625-74	msrb3	415184	ENSDARG00000045658
ZDB-GENE-040625-75	mapk11	415185	ENSDARG00000045836
ZDB-GENE-040625-76	yipf6	415186	ENSDARG00000054433
ZDB-GENE-040625-77	brk1	415187	ENSDARG00000041974
ZDB-GENE-040625-78	tmem19	415188	
ZDB-GENE-040625-79	slc25a11	415189	ENSDARG00000035741
ZDB-GENE-040625-8	cryba2a	415139	ENSDARG00000030349
ZDB-GENE-040625-80	zgc:86896	415190	ENSDARG00000090369
ZDB-GENE-040625-81	tnni4b.2	415191	ENSDARG00000036671
ZDB-GENE-040625-82	emc2	407073	ENSDARG00000003308
ZDB-GENE-040625-83	pnp4a	415192	ENSDARG00000057575
ZDB-GENE-040625-84	atg4c	415193	ENSDARG00000044373
ZDB-GENE-040625-88	lysmd3	415194	ENSDARG00000024693
ZDB-GENE-040625-90	cdk5rap3	415195	ENSDARG00000045092
ZDB-GENE-040625-92	vamp4	393708	ENSDARG00000043510
ZDB-GENE-040625-93	rpl5b	415196	ENSDARG00000015862
ZDB-GENE-040625-95	nudt15	415197	ENSDARG00000113961
ZDB-GENE-040625-96	psma5	403011	ENSDARG00000003526
ZDB-GENE-040625-97	ino80c	791987	ENSDARG00000055719
ZDB-GENE-040628-1	rbm24a	405801	ENSDARG00000102995
ZDB-GENE-040628-2	aptx	405797	ENSDARG00000027143
ZDB-GENE-040628-3	dlg4b	405796	ENSDARG00000095809
ZDB-GENE-040628-4	bsx	573364	ENSDARG00000068976
ZDB-GENE-040628-5	irx5b	405792	ENSDARG00000074070
ZDB-GENE-040629-1	ifng1	405790	ENSDARG00000024211
ZDB-GENE-040629-2	sp7	405789	ENSDARG00000019516
ZDB-GENE-040629-3	runx2a	405784	ENSDARG00000040261
ZDB-GENE-040629-4	runx2b	405788	ENSDARG00000059233
ZDB-GENE-040630-1	gfra2a	405794	ENSDARG00000042723
ZDB-GENE-040630-10	uts2b	402853	ENSDARG00000017340
ZDB-GENE-040630-11	uts2a	405774	ENSDARG00000053854
ZDB-GENE-040630-2	fibpb	405787	ENSDARG00000087666
ZDB-GENE-040630-3	ren	405786	ENSDARG00000041858
ZDB-GENE-040630-4	ubl3b	405782	ENSDARG00000021556
ZDB-GENE-040630-5	nfe2l1a	405781	ENSDARG00000030616
ZDB-GENE-040630-6	rnd1a	405780	ENSDARG00000030547
ZDB-GENE-040630-7	pou1f1	405777	ENSDARG00000058924
ZDB-GENE-040630-8	glceb	100007670	ENSDARG00000068981
ZDB-GENE-040630-9	glcea	405776	ENSDARG00000005095
ZDB-GENE-040701-1	nlk1	405892	ENSDARG00000006566
ZDB-GENE-040702-1	hbbe2	405772	ENSDARG00000045143
ZDB-GENE-040702-2	il1b	405770	ENSDARG00000098700
ZDB-GENE-040702-3	syk	405769	ENSDARG00000008186
ZDB-GENE-040702-4	blnk	405764	ENSDARG00000042722
ZDB-GENE-040702-5	kcnh6a	405763	ENSDARG00000001803
ZDB-GENE-040702-6	nr5a1b	405759	ENSDARG00000023362
ZDB-GENE-040702-7	cnr2	795246	ENSDARG00000039970
ZDB-GENE-040704-1	zgc:91968	431714	ENSDARG00000011076
ZDB-GENE-040704-11	nr4a1	431720	ENSDARG00000000796
ZDB-GENE-040704-12	mrrf	431721	ENSDARG00000034174
ZDB-GENE-040704-13	sntb1	431722	ENSDARG00000041729
ZDB-GENE-040704-14	tha1	431723	ENSDARG00000076225
ZDB-GENE-040704-15	impdh1a	431724	ENSDARG00000042336
ZDB-GENE-040704-17	tmem30b	431726	ENSDARG00000054122
ZDB-GENE-040704-19	mgat4b	431727	ENSDARG00000004115
ZDB-GENE-040704-20	mthfd2	100004977	ENSDARG00000098646
ZDB-GENE-040704-21	zgc:91890	431729	ENSDARG00000018980
ZDB-GENE-040704-22	cdc42ep4a	431730	ENSDARG00000101457
ZDB-GENE-040704-23	litaf	431731	ENSDARG00000103483
ZDB-GENE-040704-24	smpx	431732	ENSDARG00000045302
ZDB-GENE-040704-25	tspan9b	431733	ENSDARG00000045706
ZDB-GENE-040704-26	tmem30aa	337397	ENSDARG00000030236
ZDB-GENE-040704-27	eno2	402874	ENSDARG00000014287
ZDB-GENE-040704-28	cyp2x8	431734	ENSDARG00000043997
ZDB-GENE-040704-29	anks4b	431735	ENSDARG00000036846
ZDB-GENE-040704-3	rbck1	431715	ENSDARG00000031954
ZDB-GENE-040704-30	bambib	431736	ENSDARG00000099677
ZDB-GENE-040704-31	rgcc	431737	ENSDARG00000035810
ZDB-GENE-040704-32	mob3c	431738	ENSDARG00000043705
ZDB-GENE-040704-33	cmah	431739	ENSDARG00000057714
ZDB-GENE-040704-34	kiaa0513	431740	ENSDARG00000041599
ZDB-GENE-040704-35	cep41	431741	ENSDARG00000038500
ZDB-GENE-040704-37	gmppaa	431743	ENSDARG00000024112
ZDB-GENE-040704-38	sh3bgrl2	431744	ENSDARG00000036878
ZDB-GENE-040704-39	btbd9	557659	ENSDARG00000068983
ZDB-GENE-040704-4	sat1a.2	431716	ENSDARG00000095908
ZDB-GENE-040704-40	prpsap1	431746	ENSDARG00000099222
ZDB-GENE-040704-41	trub2	431747	ENSDARG00000028379
ZDB-GENE-040704-42	dbnla	431748	ENSDARG00000008170
ZDB-GENE-040704-43	ppp1r42	431749	ENSDARG00000057632
ZDB-GENE-040704-44	fam32a	431750	ENSDARG00000042660
ZDB-GENE-040704-45	prpf18	431751	ENSDARG00000058306
ZDB-GENE-040704-48	acaa1	431754	ENSDARG00000004687
ZDB-GENE-040704-49	tpgs2	431755	ENSDARG00000011926
ZDB-GENE-040704-50	mmadhcb	402886	ENSDARG00000005870
ZDB-GENE-040704-52	rabepk	431756	ENSDARG00000112165
ZDB-GENE-040704-53	spag6	431757	ENSDARG00000020158
ZDB-GENE-040704-54	plpp5	431758	ENSDARG00000057672
ZDB-GENE-040704-55	prss35	431759	ENSDARG00000100691
ZDB-GENE-040704-56	tatdn1	100151626	ENSDARG00000036924
ZDB-GENE-040704-58	tfcp2l1	431761	ENSDARG00000029497
ZDB-GENE-040704-59	mgst1.2	431762	ENSDARG00000022165
ZDB-GENE-040704-6	mapre3b	431717	ENSDARG00000102878
ZDB-GENE-040704-60	gadd45ab	431763	ENSDARG00000104571
ZDB-GENE-040704-61	cpa4	431764	ENSDARG00000043722
ZDB-GENE-040704-63	nfil3-6	431765	ENSDARG00000087188
ZDB-GENE-040704-64	htra1a	431766	ENSDARG00000032831
ZDB-GENE-040704-65	dctn3	431767	ENSDARG00000041363
ZDB-GENE-040704-68	aar2	431768	ENSDARG00000018658
ZDB-GENE-040704-69	pak4	431769	ENSDARG00000018110
ZDB-GENE-040704-7	hdac11	431718	ENSDARG00000087573
ZDB-GENE-040704-70	mpp2b	431770	ENSDARG00000010957
ZDB-GENE-040704-71	kctd4	792402	ENSDARG00000068691
ZDB-GENE-040704-72	sgtb	431772	ENSDARG00000016769
ZDB-GENE-040704-73	enoph1	431773	ENSDARG00000026198
ZDB-GENE-040704-74	bgna	431774	ENSDARG00000017884
ZDB-GENE-040704-75	rhbdf1a	798402	ENSDARG00000036541
ZDB-GENE-040704-77	snx7	431776	ENSDARG00000105185
ZDB-GENE-040704-78	tuba7l	431777	ENSDARG00000104643
ZDB-GENE-040704-8	ubxn7	402913	ENSDARG00000009436
ZDB-GENE-040704-9	elavl2	431719	ENSDARG00000040732
ZDB-GENE-040707-1	irx1a	403019	ENSDARG00000101831
ZDB-GENE-040708-1	prdm5	432371	ENSDARG00000006288
ZDB-GENE-040709-1	otomp	565818	ENSDARG00000040306
ZDB-GENE-040709-2	cpsf1	432372	ENSDARG00000034178
ZDB-GENE-040711-1	ipo11	432373	ENSDARG00000054224
ZDB-GENE-040711-2	nceh1a	432374	ENSDARG00000020427
ZDB-GENE-040711-3	twf1b	432375	ENSDARG00000011661
ZDB-GENE-040711-4	phtf2	432376	ENSDARG00000114503
ZDB-GENE-040712-1	ltv1	436587	ENSDARG00000008490
ZDB-GENE-040712-2	gcgb	436584	ENSDARG00000040907
ZDB-GENE-040712-4	irx4b	474318	ENSDARG00000036051
ZDB-GENE-040712-5	irx6a	474317	ENSDARG00000034420
ZDB-GENE-040712-6	ccm2	436586	ENSDARG00000013705
ZDB-GENE-040713-1	adcy7	568726	ENSDARG00000060070
ZDB-GENE-040713-2	hic1	436585	ENSDARG00000055493
ZDB-GENE-040714-1	heg1	406202	ENSDARG00000018441
ZDB-GENE-040714-2	polr2d	436588	ENSDARG00000076509
ZDB-GENE-040714-3	ift81	432390	ENSDARG00000007444
ZDB-GENE-040715-1	mcm3ap	436589	ENSDARG00000021402
ZDB-GENE-040715-2	cga	402987	ENSDARG00000040479
ZDB-GENE-040715-3	cttn	445561	ENSDARG00000011777
ZDB-GENE-040715-4	lman2la	403038	ENSDARG00000102657
ZDB-GENE-040715-5	serpinb1l1	494155	ENSDARG00000095830
ZDB-GENE-040715-6	mrps33	432383	ENSDARG00000020015
ZDB-GENE-040715-7	rbp2b	432384	ENSDARG00000093774
ZDB-GENE-040715-8	nup205	445382	ENSDARG00000042530
ZDB-GENE-040718-10	pls3	436598	ENSDARG00000037655
ZDB-GENE-040718-100	dnase1l1l	436676	ENSDARG00000023861
ZDB-GENE-040718-101	glrx2	436677	ENSDARG00000100944
ZDB-GENE-040718-102	arr3a	436678	ENSDARG00000056511
ZDB-GENE-040718-103	nr4a2b	436679	ENSDARG00000044532
ZDB-GENE-040718-104	lim2.4	436680	ENSDARG00000015445
ZDB-GENE-040718-105	crygm2d13	436681	ENSDARG00000057460
ZDB-GENE-040718-106	rbpms2a	436682	ENSDARG00000045930
ZDB-GENE-040718-107	cryba1a	436683	ENSDARG00000041141
ZDB-GENE-040718-108	otub1a	436684	ENSDARG00000055536
ZDB-GENE-040718-109	zfyve19	436685	ENSDARG00000003642
ZDB-GENE-040718-110	syt5a	436686	ENSDARG00000037941
ZDB-GENE-040718-111	cabp1b	436687	ENSDARG00000033411
ZDB-GENE-040718-112	vps26bl	436688	ENSDARG00000055433
ZDB-GENE-040718-113	epdr1	436689	ENSDARG00000045420
ZDB-GENE-040718-114	med31	436690	ENSDARG00000008020
ZDB-GENE-040718-115	mrps26	436691	ENSDARG00000039719
ZDB-GENE-040718-116	entpd4	436692	ENSDARG00000038422
ZDB-GENE-040718-117	gapvd1	436693	ENSDARG00000090183
ZDB-GENE-040718-118	commd2	436694	ENSDARG00000003373
ZDB-GENE-040718-119	zgc:92664	436695	ENSDARG00000015161
ZDB-GENE-040718-12	ebp	436600	ENSDARG00000046098
ZDB-GENE-040718-120	aagab	436696	ENSDARG00000041170
ZDB-GENE-040718-121	slc48a1a	436697	ENSDARG00000026907
ZDB-GENE-040718-122	haus4	436698	ENSDARG00000016594
ZDB-GENE-040718-123	rprm3	436699	ENSDARG00000092792
ZDB-GENE-040718-124	eny2	436700	ENSDARG00000070046
ZDB-GENE-040718-125	mrpl43	436701	ENSDARG00000076334
ZDB-GENE-040718-126	wdr83	436702	ENSDARG00000041600
ZDB-GENE-040718-127	pxylp1	436703	ENSDARG00000040644
ZDB-GENE-040718-128	rgs20	436704	ENSDARG00000038859
ZDB-GENE-040718-129	fam189a1	436705	ENSDARG00000053380
ZDB-GENE-040718-130	dnajc9	436706	ENSDARG00000031293
ZDB-GENE-040718-131	havcr1	436707	ENSDARG00000040178
ZDB-GENE-040718-134	gnb3a	436710	ENSDARG00000004358
ZDB-GENE-040718-136	dpy30	436711	ENSDARG00000004427
ZDB-GENE-040718-137	tspan18b	436712	ENSDARG00000015015
ZDB-GENE-040718-138	elocb	436713	ENSDARG00000045359
ZDB-GENE-040718-139	sbf1	568277	ENSDARG00000062968
ZDB-GENE-040718-14	kctd6b	436601	ENSDARG00000023703
